Mixture	Inmature_Enterocyte_2	Cycling_TA	Inmature_Enterocyte_1	TA	Stem_Cells	Enterocyte_1	Enteroendocrine_cells	Secretory_TA	Goblet_Cells	P-value	Correlation	RMSE
H_6h_1	0.0214604355240271	0.470274119833116	0.302037070944087	0	0.166616806547212	0	0.000168968221309187	0	0.039442598930249	0	0.54155386666147	0.911630954607392
H_6h_2	0	0.489509757806951	0.28020203597465	0	0.200485449128997	0	0.000223319379182676	0	0.0295794377102188	0	0.561457275573417	0.912354373503216
H_6h_3	0.0136548296674686	0.485433863981381	0.289293390598916	0	0.182635850541242	0	0.000173315451181177	0	0.0288087497598108	0	0.552607631765813	0.913446113243445
H_6h_4	0	0.490479793258013	0.285902425144961	0	0.190066376483955	0	0.000175304564839439	0	0.0333761005482314	0	0.564005898254602	0.910310494561908
N_6h_1	0	0.446629914418202	0.271869146931678	0	0.23961695159713	0	0.000173046724565624	0.0156862186464769	0.0260247216819468	0	0.542895328451067	0.916717907218489
N_6h_2	0	0.428842116463553	0.277569277226492	0	0.245248519622891	0	0.000170246151132592	0.0263067917380316	0.0218630487979003	0	0.559112451551582	0.91373305969819
N_6h_3	0	0.424418331007336	0.271583479802026	0	0.247858999967222	0	0.000191483924064521	0.0333454277714918	0.0226022775278587	0	0.551039191323037	0.915218032475347
N_6h_4	0	0.447484414176151	0.27576169334973	0	0.228529049157828	0	0.000222795149895918	0.0218949813467095	0.0261070668196854	0	0.545212185250845	0.915680512786513
H_12h_1	0.0657815850276624	0.324349686249316	0.333467006902901	0	0.217048414489846	0	0.000220613857135314	0	0.0591326934731398	0	0.529220801328319	0.905503296882974
H_12h_2	0.0226399582708887	0.334327168170099	0.374399013746233	0	0.206788925118441	0	0.000198686472983869	0	0.0616462482213545	0	0.536374616382885	0.900650811492932
N_12h_1	0	0.370677824139052	0.288146442993199	0	0.296406321912931	0	0.000722497849597082	0	0.044046913105221	0	0.500816795491972	0.919571959309114
N_12h_2	0	0.363069364820011	0.321112184240305	0	0.257032555541354	0	0.000741856802779794	0	0.0580440385955497	0	0.501559842359258	0.913712931784106
N_12h_3	0	0.330780654250007	0.294120691625023	0	0.325036212676634	0	0.000190016478913075	0	0.0498724249694227	0	0.499111386624397	0.917899428492329
H_D1_1	0.094491606419914	0.174299292974467	0.436620078692595	0	0.226534465078868	0	0.000308422017535601	0	0.0677461348166208	0.002	0.410541248262903	0.926697703044566
H_D1_2	0.0512411158678654	0.152742949446936	0.504334994191138	0	0.22829472590558	0	0.000217871070233849	0	0.0631683435182477	0.002	0.418750739141505	0.922469018325962
H_D1_3	0	0.153684331723931	0.55293581171504	0	0.187678223013059	0	0.00068390734933889	0	0.105017726198631	0	0.505103085721842	0.887259878681181
H_D1_4	0.0188207250978311	0.150655861503151	0.554572130011469	0	0.207712099537969	0	0.000611667519101701	0	0.0676275163304789	0	0.420318766670983	0.919575047207294
N_D1_1	0	0.504508654357523	0.297086510900795	0	0.14312833693234	0	0.000853412714553192	0	0.0544230850947878	0	0.508053274936964	0.915173853280677
N_D1_2	0	0.435978014937686	0.328740502881401	0	0.187624521316237	0	0.000452716962820617	0	0.0472042439018545	0	0.519961686442038	0.912263300934814
N_D1_3	0	0.425103857263439	0.326107137804299	0	0.198160766940176	0	0.000428461657684129	0	0.0501997763344021	0	0.521281645159271	0.91131420416313
N_D1_4	0.0101045105333922	0.40912267702537	0.356873073098645	0	0.184697084945306	0	0.000561586868464077	0	0.0386410675288224	0	0.50274172782752	0.915970197003477
H_D2_1	0	0.118862221210806	0.715449723977584	0	0	0	0.00201399523572834	0.00104455299391769	0.162629506581964	0.002	0.352848913911951	0.936221027783711
H_D2_2	0.016890000257527	0.0955885217777401	0.72222550589662	0	0	0	0.00359965374018188	0.00267435570223822	0.159021962625692	0.002	0.369944237427892	0.929117452773865
H_D2_3	0.0103004716607517	0.112655754337558	0.717297912519736	0	0	0	0.00255099122004843	0.00256734329363168	0.154627526968275	0.002	0.370739673116643	0.92870071385982
H_D2_4	0	0.125189266963041	0.705108433559298	0	0	0	0.00435213926446321	0.00387243588517998	0.161477724328018	0.002	0.377660915219776	0.9258604558032
N_D2_1	0	0.305611952343529	0.486742377210584	0	0.150432095216736	0	0.00115794058203183	0	0.0560556346471189	0.002	0.417279312642664	0.925358295838388
N_D2_2	0	0.209018685567924	0.521419470650522	0	0.213558118284557	0	0.00141898372162214	0	0.0545847417753747	0	0.460047973496431	0.911967796868345
N_D2_3	0	0.227292401017301	0.514397037075192	0	0.221734210653222	0	0.00104540697686213	0.00216332262306027	0.033367621654363	0	0.42464940334149	0.924700285918892
N_D2_4	0	0.188806953536965	0.519807946722495	0	0.243224525896768	0	0.00128163434897402	0	0.0468789394947983	0	0.463405670911704	0.912271464635359
